Date,Open,High,Low,Close,12-day ema,26-day ema,MACD,Volume
18-11-28,42800,43200,42750,43150,43089.51988,2968.341824,40121.17805,6943099
18-11-29,43850,43850,42900,43150,43098.82451,2967.96231,40130.8622,8473511
18-11-30,43450,44000,41750,41850,42906.69766,2871.695207,40035.00246,19775519
18-12-03,42750,43400,42400,43250,42959.51341,2982.804072,39976.70934,12110702
18-12-04,42650,42900,41900,42150,42834.97288,2892.775755,39942.19713,14347746
18-12-05,40900,41750,40850,41450,42621.90013,2847.849158,39774.05097,12631983
18-12-06,40600,41100,40450,40500,42295.45396,2780.93468,39514.51928,14251826
18-12-07,40900,41400,40850,40950,42088.46104,2819.415281,39269.04576,11433083
18-12-10,40450,40650,40000,40200,41797.92857,2760.899679,39037.02889,14892263
18-12-11,40600,40700,40200,40250,41559.78572,2769.104583,38790.68113,10638766
18-12-12,40250,40700,40150,40450,41389.04945,2783.288251,38605.7612,12024279
18-12-13,40650,40750,40000,40000,41175.34954,2748.863867,38426.48567,26254646
18-12-14,40200,40200,38700,38950,40832.98807,2673.734119,38159.25395,19671783
18-12-17,38650,39600,38650,39150,40574.06683,2694.328145,37879.73868,11532968
18-12-18,38300,39200,38300,38900,40316.51809,2674.22547,37642.29261,11042101
18-12-19,38900,39350,38850,39100,40129.36146,2690.586645,37438.77481,9942037
18-12-20,38600,39100,38500,38650,39901.76739,2655.99476,37245.77263,11937617
18-12-21,38200,38650,38100,38650,39709.18779,2658.655674,37050.53211,14947080
18-12-24,38500,39050,38300,38800,39569.31274,2669.562099,36899.75064,9729530
18-12-26,38400,38750,38300,38350,39381.72617,2635.38981,36746.33636,12707675
18-12-27,38700,38800,38100,38250,39207.61445,2630.61104,36577.00341,10510643
18-12-28,38250,38900,38200,38700,39129.51992,2664.311971,36465.20795,9900267
19-01-02,39400,39400,38550,38750,39071.13224,2665.423296,36405.70894,7847664
19-01-03,38300,38550,37450,37600,38844.8042,2580.152624,36264.65158,12471493
19-01-04,37450,37600,36850,37450,38630.21894,2575.600795,36054.61815,14108958
19-01-07,38000,38900,37800,38750,38648.6468,2672.247232,35976.39956,12748997
19-01-08,38000,39200,37950,38100,38564.2396,2616.664743,35947.57485,12756554
19-01-09,38650,39600,38300,39600,38723.58735,2732.05143,35991.53592,17452708
19-01-10,40000,40150,39600,39800,38889.1893,2737.990346,36151.19895,14731699
19-01-11,40350,40550,39950,40500,39137.00633,2789.385358,36347.62097,11661063
19-01-14,40450,40700,39850,40050,39277.46689,2752.098562,36525.36833,11984996
19-01-15,40050,41100,39850,41100,39557.8566,2832.744555,36725.11205,11492756
19-01-16,41150,41450,40700,41450,39848.95559,2852.466943,36996.48864,8491595
19-01-17,41700,42100,41450,41950,40172.19319,2887.986873,37284.20631,11736903
19-01-18,42000,42400,41950,42300,40499.54808,2911.180497,37588.36759,11029256
19-01-21,42700,42750,41900,42750,40845.77145,2942.729705,37903.04175,11355701
19-01-22,42750,42850,41850,42150,41046.422,2895.858399,38150.5636,9964356
19-01-23,41350,42250,41350,42000,41193.12631,2888.352773,38304.77353,11071079
19-01-24,43050,43100,42350,43050,41478.79918,2966.707906,38512.09128,14747623
19-01-25,44300,44750,43750,44750,41982.06085,3086.606514,38895.45433,22789395
19-01-28,45000,45500,44600,45050,42454.05149,3099.605767,39354.44572,17998914
19-01-29,45050,45500,44350,45500,42922.65895,3131.939158,39790.71979,16215017
19-01-30,44800,46400,44800,46400,43457.6345,3196.11864,40261.51586,17505980
19-01-31,46650,47050,46150,46150,43871.84457,3172.663238,40699.18134,21621145
19-02-01,46650,46950,46250,46350,44253.09925,3189.282315,41063.81694,13832454
19-02-07,46800,47100,46200,46200,44552.62245,3176.892813,41375.72963,15872001
19-02-08,45700,45700,44650,44800,44590.68053,3074.142148,41516.53838,12689196
19-02-11,44500,45000,44250,45000,44653.65276,3096.86086,41556.7919,11125044
19-02-12,44650,46250,44650,46050,44868.47541,3172.891045,41695.58437,13184367
19-02-13,46400,46700,46000,46200,45073.32535,3178.15368,41895.17167,11299738
